year,round,pick,player,cfb_url,cfb_table_name,cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_method,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,nfl_url,nfl_table_name,nfl_yards_per_year
2013,5,144,Kenny Stills,https://www.sports-reference.com/cfb/players/kenny-stills-1.html,receiving & rushing table,Oklahoma,Big 12,JR,WR,38.0,204.0,2594.0,12.7,24.0,3.0,23.0,7.7,0.0,207.0,2617.0,12.6,24.0,success from merge,21,72.0,194.0,4.38,33.5,16.0,124.0,,https://www.pro-football-reference.com/players/S/StilKe00.htm,receiving & rushing table,"[641.0, 931.0, 440.0, 726.0, 847.0, 553.0, 561.0, 51.0]"
2013,5,161,Tavarres King,https://www.sports-reference.com/cfb/players/tavarres-king-1.html,receiving & rushing table,Georgia,SEC,SR,WR,56.0,136.0,2602.0,19.1,21.0,3.0,5.0,1.7,0.0,139.0,2607.0,18.8,21.0,success from merge,23,72.0,189.0,4.47,36.5,11.0,123.0,6.91,https://www.pro-football-reference.com/players/K/KingTa00.htm,receiving & rushing table,"[13.0, 50.0, 240.0]"
2013,6,171,Corey Fuller,https://www.sports-reference.com/cfb/players/corey-fuller-2.html,receiving & rushing table,Virginia Tech,ACC,SR,WR,20.0,45.0,834.0,18.5,6.0,1.0,10.0,10.0,0.0,46.0,844.0,18.3,6.0,success from merge,23,74.0,204.0,4.43,31.5,12.0,120.0,,https://www.pro-football-reference.com/players/F/FullCo00.htm,receiving & rushing table,"[212.0, 76.0]"
2013,6,174,Ryan Swope,https://www.sports-reference.com/cfb/players/ryan-swope-1.html,receiving & rushing table,Texas A&M,SEC,SR,WR,51.0,252.0,3117.0,12.4,24.0,19.0,59.0,3.1,0.0,271.0,3176.0,11.7,24.0,success from merge,22,72.0,205.0,4.34,37.0,16.0,125.0,6.76,https://www.pro-football-reference.com/players/S/SwopRy00.htm,receiving & rushing table,[0.0]
2013,6,186,Justin Brown,https://www.sports-reference.com/cfb/players/justin-brown-1.html,receiving & rushing table,Oklahoma,Big 12,SR,WR,49.0,146.0,1926.0,13.2,8.0,3.0,-12.0,-4.0,0.0,149.0,1914.0,12.8,8.0,fail from merge and from search,22,,,,,,,,https://www.pro-football-reference.com/players/B/BrowJu00.htm,receiving & rushing table,[94.0]
2013,6,195,Alan Bonner ,cfb link is missing,cfb link is missing,,,,,,,,,,,,,,,,,,success from search,22,70.0,193.0,4.59,33.0,14.0,117.0,,https://www.pro-football-reference.com/players/B/BonnAl00.htm,receiving & rushing table,[0.0]
2013,6,197,Cobi Hamilton,https://www.sports-reference.com/cfb/players/cobi-hamilton-1.html,receiving & rushing table,Arkansas,SEC,SR,WR,51.0,175.0,2854.0,16.3,18.0,1.0,-8.0,-8.0,0.0,176.0,2846.0,16.2,18.0,success from merge,22,74.0,212.0,4.56,29.5,11.0,107.0,,https://www.pro-football-reference.com/players/H/HamiCo00.htm,receiving & rushing table,"[0.0, 234.0, 8.0]"
2013,7,209,Brice Butler,https://www.sports-reference.com/cfb/players/brice-butler-1.html,receiving & rushing table,San Diego State,MWC,SR,WR,49.0,65.0,901.0,13.9,7.0,0.0,0.0,0.0,0.0,65.0,901.0,13.9,7.0,fail from merge and from search,23,,,,,,,,https://www.pro-football-reference.com/players/B/ButlBr00.htm,receiving & rushing table,"[103.0, 280.0, 258.0, 219.0, 317.0, 60.0]"
2013,7,216,Charles Johnson,cfb link is missing,cfb link is missing,,,,,,,,,,,,,,,,,,fail from merge and from search,24,,,,,,,,https://www.pro-football-reference.com/players/J/JohnCh08.htm,receiving & rushing table,"[475.0, 127.0, 232.0]"
2013,7,224,Kevin Dorsey,https://www.sports-reference.com/cfb/players/kevin-dorsey-1.html,receiving & rushing table,Maryland,ACC,SR,WR,47.0,81.0,1088.0,13.4,9.0,1.0,4.0,4.0,0.0,82.0,1092.0,13.3,9.0,fail from merge and from search,23,,,,,,,,https://www.pro-football-reference.com/players/D/DorsKe01.htm,receiving & rushing table,[4.0]
